name,desc,frequency,atk,def,level,race,attribute,type
次元吸引者,①：自己·对方回合，自己墓地没有卡存在的场合，把这张卡从手卡送去墓地才能发动。直到下个回合的结束时，被送去墓地的卡不去墓地而除外。,common,1200,2200,6,魔法师,暗,怪兽卡|效果
欢聚友伴·茸茸长尾山雀,"这张卡的效果发动的回合，自己只能有1次把这张卡以外的「欢聚友伴」怪兽的效果发动。
①：自己·对方回合，自己场上没有卡存在的场合，把这张卡从手卡丢弃才能发动。这个回合中，以下效果适用。
●每次对方从卡组·额外卡组把怪兽特殊召唤，自己抽1张。
●结束阶段，自己手卡比对方场上的卡数量＋6张要多的场合，那个相差数量的自己手卡随机回到卡组。",common,100,600,4,鸟兽,风,怪兽卡|效果
灰流丽,"这个卡名的效果1回合只能使用1次。
①：包含以下其中任意种效果的魔法·陷阱·怪兽的效果发动时，把这张卡从手卡丢弃才能发动。那个效果无效。
●从卡组把卡加入手卡的效果
●从卡组把怪兽特殊召唤的效果
●从卡组把卡送去墓地的效果",common,0,1800,3,不死,炎,怪兽卡|效果|调整
屋敷童,"这个卡名的效果1回合只能使用1次。
①：包含以下其中任意种效果的魔法·陷阱·怪兽的效果发动时，把这张卡从手卡丢弃才能发动。那个发动无效。
●从墓地把卡加入手卡·卡组·额外卡组的效果
●从墓地把怪兽特殊召唤的效果
●从墓地把卡除外的效果",common,0,1800,3,不死,地,怪兽卡|效果|调整
无限泡影,"自己场上没有卡存在的场合，这张卡的发动从手卡也能用。
①：以对方场上1只表侧表示怪兽为对象才能发动。那只怪兽的效果直到回合结束时无效。盖放的这张卡发动的场合，再在这个回合中让和这张卡相同纵列的其他的魔法·陷阱卡的效果无效化。",common,,,,,,陷阱卡
应战的G,"①：包含把怪兽特殊召唤效果的魔法卡由对方发动时才能发动。这张卡从手卡特殊召唤。
②：只要这张卡的①的效果特殊召唤的这张卡在怪兽区域存在，被送去墓地的卡不去墓地而除外。
③：这张卡从场上送去墓地的场合才能发动。从卡组把「应战的G」以外的1只攻击力1500以下的昆虫族·地属性怪兽加入手卡。",uncommon,1400,1400,4,昆虫,地,怪兽卡|效果
原始生命态 尼比鲁,"这个卡名的效果1回合只能使用1次。
①：对方把5只以上的怪兽召唤·特殊召唤的自己·对方回合的主要阶段才能发动。自己·对方场上的表侧表示怪兽尽可能解放，这张卡从手卡特殊召唤。那之后，在对方场上把1只「原始生命态衍生物」（岩石族·光·11星·攻/守?）特殊召唤。这衍生物的攻击力·守备力变成这个效果解放的怪兽的原本的攻击力·守备力各自合计数值。",common,3000,600,11,岩石,光,怪兽卡|效果
小丑与锁鸟,①：自己·对方回合，对方在抽卡阶段以外从卡组把卡加入手卡的场合，把这张卡从手卡送去墓地才能发动。这个回合，双方不能从卡组把卡加入手卡。,common,0,0,1,魔法师,风,怪兽卡|效果
深渊之兽 玛格巨龙,"这个卡名的①②的效果1回合各能使用1次。
①：以自己或对方的墓地1只光·暗属性怪兽为对象才能发动（对方场上有怪兽存在的场合，这个效果在对方回合也能发动）。那只怪兽除外，这张卡从手卡特殊召唤。
②：这张卡特殊召唤的场合才能发动。这个回合的结束阶段，从自己的卡组·墓地把「深渊之兽 玛格巨龙」以外的1只龙族怪兽加入手卡。",common,2500,2000,6,龙,暗,怪兽卡|效果
深渊之兽 德鲁伊鳞虫,"这个卡名的①②的效果1回合各能使用1次。
①：以自己或对方的墓地1只光·暗属性怪兽为对象才能发动（对方场上有怪兽存在的场合，这个效果在对方回合也能发动）。那只怪兽除外，这张卡从手卡特殊召唤。
②：这张卡从场上送去墓地的场合，以对方场上1只特殊召唤的怪兽为对象才能发动。那只怪兽送去墓地。",common,2500,2000,6,龙,暗,怪兽卡|效果
欢聚友伴·抖抖海月水母,"这张卡的效果发动的回合，自己只能有1次把这张卡以外的「欢聚友伴」怪兽的效果发动。
①：自己·对方回合，自己场上没有卡存在的场合，把这张卡从手卡丢弃才能发动。这个回合中，以下效果适用。
●每次对方从手卡把怪兽召唤·特殊召唤，自己抽1张。
●结束阶段，自己手卡比对方场上的卡数量＋6张要多的场合，那个相差数量的自己手卡随机回到卡组。",common,100,600,4,水,水,怪兽卡|效果
效果遮蒙者,①：对方主要阶段，把这张卡从手卡送去墓地，以对方场上1只效果怪兽为对象才能发动。那只对方怪兽的效果直到回合结束时无效。,uncommon,0,0,1,魔法师,光,怪兽卡|效果|调整
,,
